,name,symbol,country,indices,industries,symbols,metadata,isins,akas,wiki_name,symbol_paris
10,Engie SA,ENGI,France,['CAC 40'],"['Multiline Utilities', 'Utilities']","[{'yahoo': 'GZF.F', 'google': 'FRA:GZF', 'currency': 'EUR'}, {'yahoo': 'ENGIY', 'google': 'OTCMKTS:ENGIY', 'currency': 'USD'}, {'yahoo': 'GZFB.F', 'google': 'FRA:GZFB', 'currency': 'EUR'}, {'yahoo': '0LD0.L', 'google': 'LON:0LD0', 'currency': 'GBP'}]","{'founded': 2008, 'employees': 171100}",['FR0010208488'],[],,ENGI.PA
11,EssilorLuxottica SA,EL,France,"['CAC 40', 'EURO STOXX 50']","['Medical Equipment, Supplies & Distribution', 'Healthcare', 'Healthcare Services', 'Healthcare Equipment & Supplies']","[{'yahoo': 'ESL.F', 'google': 'FRA:ESL', 'currency': 'EUR'}, {'yahoo': 'ESLOF', 'google': 'OTCMKTS:ESLOF', 'currency': 'USD'}, {'yahoo': 'ESLOY', 'google': 'OTCMKTS:ESLOY', 'currency': 'USD'}, {'yahoo': 'ESLC.F', 'google': 'FRA:ESLC', 'currency': 'EUR'}]","{'founded': 2018, 'employees': 150000}",['FR0000121667'],[],,EL.PA
12,Hermès International SCA,RMS,France,"['CAC 40', 'EURO STOXX 50']","['Cyclical Consumer Products', 'Textiles & Apparel', 'Apparel & Accessories', 'Consumer Cyclicals']","[{'yahoo': 'HMI.F', 'google': 'FRA:HMI', 'currency': 'EUR'}, {'yahoo': 'HESAY', 'google': 'OTCMKTS:HESAY', 'currency': 'USD'}]","{'founded': 1837, 'employees': 14284}",['FR0000052292'],[],,RMS.PA
13,Kering SA,KER,France,"['CAC 40', 'EURO STOXX 50']","['Retailers', 'Apparel & Accessories Retailers', 'Specialty Retailers', 'Consumer Cyclicals']","[{'yahoo': 'PPX.F', 'google': 'FRA:PPX', 'currency': 'EUR'}, {'yahoo': 'PPRUF', 'google': 'OTCMKTS:PPRUF', 'currency': 'USD'}, {'yahoo': 'PPRUY', 'google': 'OTCMKTS:PPRUY', 'currency': 'USD'}, {'yahoo': 'PPXB.F', 'google': 'FRA:PPXB', 'currency': 'EUR'}, {'yahoo': '0IIH.L', 'google': 'LON:0IIH', 'currency': 'GBP'}]","{'founded': 1963, 'employees': 38000}",['FR0000121485'],[],,KER.PA
14,L'Oréal SA,OR,France,"['CAC 40', 'EURO STOXX 50']","['Consumer Non-Cyclicals', 'Personal Products', 'Personal & Household Products & Services']","[{'yahoo': 'LOR.F', 'google': 'FRA:LOR', 'currency': 'EUR'}, {'yahoo': 'LRLCF', 'google': 'OTCMKTS:LRLCF', 'currency': 'USD'}]","{'founded': 1909, 'employees': 88000}",['FR0000120321'],[],L'Oréal S.A.,OR.PA
15,Legrand SA,LR,France,['CAC 40'],"['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Electrical Components & Equipment']","[{'yahoo': 'LRC.F', 'google': 'FRA:LRC', 'currency': 'EUR'}, {'yahoo': 'LGRDY', 'google': 'OTCMKTS:LGRDY', 'currency': 'USD'}, {'yahoo': 'LGRVF', 'google': 'OTCMKTS:LGRVF', 'currency': 'USD'}, {'yahoo': 'LRC0.F', 'google': 'FRA:LRC0', 'currency': 'EUR'}]","{'founded': 1904, 'employees': 39000}",['FR0010307819'],[],,LR.PA
16,Compagnie Générale des établissements Michelin,ML,France,['CAC 40'],"['Tires & Rubber Products', 'Automobiles & Auto Parts', 'Consumer Cyclicals']","[{'yahoo': 'MCH.F', 'google': 'FRA:MCH', 'currency': 'EUR'}, {'yahoo': 'MGDDF', 'google': 'OTCMKTS:MGDDF', 'currency': 'USD'}, {'yahoo': 'MCHA.F', 'google': 'FRA:MCHA', 'currency': 'EUR'}]","{'founded': 1889, 'employees': 127000}",['FR0000121261'],[],,ML.PA
17,Orange Belgium SA,ORA,France,['CAC 40'],"['Telecommunications Services', 'Integrated Telecommunications Services']","[{'yahoo': 'MOS.F', 'google': 'FRA:MOS', 'currency': 'EUR'}, {'yahoo': 'OCBI', 'google': 'OTCMKTS:OCBI', 'currency': 'USD'}, {'yahoo': 'FTE.F', 'google': 'FRA:FTE', 'currency': 'EUR'}, {'yahoo': 'ORAN', 'google': 'NYSE:ORAN', 'currency': 'USD'}, {'yahoo': 'FNCTF', 'google': 'OTCMKTS:FNCTF', 'currency': 'USD'}, {'yahoo': 'MBISF', 'google': 'OTCMKTS:MBISF', 'currency': 'USD'}, {'yahoo': '0FBS.L', 'google': 'LON:0FBS', 'currency': 'GBP'}]","{'founded': 1988, 'employees': 142150}",['FR0000133308'],[],,ORA.PA
18,Pernod Ricard SA,RI,France,"['CAC 40', 'EURO STOXX 50']","['Food & Beverages', 'Consumer Non-Cyclicals', 'Beverages', 'Distillers & Wineries']","[{'yahoo': 'PER.F', 'google': 'FRA:PER', 'currency': 'EUR'}, {'yahoo': 'PDRDF', 'google': 'OTCMKTS:PDRDF', 'currency': 'USD'}, {'yahoo': 'PDRDY', 'google': 'OTCMKTS:PDRDY', 'currency': 'USD'}, {'yahoo': 'PRNDY', 'google': 'OTCMKTS:PRNDY', 'currency': 'USD'}, {'yahoo': 'PER0.F', 'google': 'FRA:PER0', 'currency': 'EUR'}, {'yahoo': '0HAT.L', 'google': 'LON:0HAT', 'currency': 'GBP'}]","{'founded': 1975, 'employees': 18914}",['FR0000120693'],[],,RI.PA
19,Publicis Groupe SA,PUB,France,['CAC 40'],"['Media & Publishing', 'Advertising & Marketing', 'Cyclical Consumer Services', 'Consumer Cyclicals']","[{'yahoo': 'PU4.F', 'google': 'FRA:PU4', 'currency': 'EUR'}, {'yahoo': 'PGPEF', 'google': 'OTCMKTS:PGPEF', 'currency': 'USD'}, {'yahoo': 'PUBGY', 'google': 'OTCMKTS:PUBGY', 'currency': 'USD'}, {'yahoo': '0FQI.L', 'google': 'LON:0FQI', 'currency': 'GBP'}, {'yahoo': 'PU41.F', 'google': 'FRA:PU41', 'currency': 'EUR'}]","{'founded': 1926, 'employees': 75588}",['FR0000130577'],[],,PUB.PA
20,Renault SA,RNO,France,['CAC 40'],"['Auto & Truck Manufacturers', 'Automobiles & Auto Parts', 'Consumer Cyclicals']","[{'yahoo': 'RNL.F', 'google': 'FRA:RNL', 'currency': 'EUR'}, {'yahoo': 'RNSDF', 'google': 'OTCMKTS:RNSDF', 'currency': 'USD'}, {'yahoo': 'RNLSY', 'google': 'OTCMKTS:RNLSY', 'currency': 'USD'}, {'yahoo': 'RNL1.F', 'google': 'FRA:RNL1', 'currency': 'EUR'}]","{'founded': 1899, 'employees': 170158}",['FR0000131906'],[],,RNO.PA
21,Safran SA,SAF,France,"['CAC 40', 'EURO STOXX 50']","['Industrial Goods', 'Industrials', 'Aerospace & Defense']","[{'yahoo': 'SEJ1.F', 'google': 'FRA:SEJ1', 'currency': 'EUR'}, {'yahoo': 'SAFRF', 'google': 'OTCMKTS:SAFRF', 'currency': 'USD'}, {'yahoo': 'SAFRY', 'google': 'OTCMKTS:SAFRY', 'currency': 'USD'}, {'yahoo': 'SEJU.F', 'google': 'FRA:SEJU', 'currency': 'EUR'}]","{'founded': 2005, 'employees': 81000}",['FR0000073272'],[],,SAF.PA
22,Compagnie de Saint-Gobain SA,SGO,France,['CAC 40'],"['Cyclical Consumer Products', 'Construction Supplies & Fixtures', 'Homebuilding / Household Goods', 'Consumer Cyclicals']","[{'yahoo': 'GOB.F', 'google': 'FRA:GOB', 'currency': 'EUR'}, {'yahoo': 'CODGF', 'google': 'OTCMKTS:CODGF', 'currency': 'USD'}, {'yahoo': 'CODYY', 'google': 'OTCMKTS:CODYY', 'currency': 'USD'}, {'yahoo': 'COD.L', 'google': 'LON:COD', 'currency': 'GBP'}, {'yahoo': 'GOBU.F', 'google': 'FRA:GOBU', 'currency': 'EUR'}]","{'founded': 1665, 'employees': 180000}",['FR0000125007'],[],,SGO.PA
23,Sanofi,SAN,France,"['CAC 40', 'EURO STOXX 50']","['Pharmaceuticals', 'Pharmaceuticals & Medical Research', 'Healthcare']","[{'yahoo': 'SNW.F', 'google': 'FRA:SNW', 'currency': 'EUR'}, {'yahoo': 'SNYNF', 'google': 'OTCMKTS:SNYNF', 'currency': 'USD'}, {'yahoo': 'SNY', 'google': 'NASDAQ:SNY', 'currency': 'USD'}, {'yahoo': 'SNW2.F', 'google': 'FRA:SNW2', 'currency': 'EUR'}]","{'founded': 1973, 'employees': 100409}",['FR0000120578'],[],,SAN.PA
24,Schneider Electric S.E.,SU,France,"['CAC 40', 'EURO STOXX 50']","['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Electrical Components & Equipment']","[{'yahoo': 'SND.F', 'google': 'FRA:SND', 'currency': 'EUR'}, {'yahoo': 'SBGSF', 'google': 'OTCMKTS:SBGSF', 'currency': 'USD'}, {'yahoo': 'SBGSY', 'google': 'OTCMKTS:SBGSY', 'currency': 'USD'}, {'yahoo': 'SNDB.F', 'google': 'FRA:SNDB', 'currency': 'EUR'}]","{'founded': 1836, 'employees': 135000}",['FR0000121972'],[],,SU.PA
25,STMicroelectronics N.V.,STM,Switzerland,['CAC 40'],"['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'SGM.F', 'google': 'FRA:SGM', 'currency': 'EUR'}, {'yahoo': 'STMEF', 'google': 'OTCMKTS:STMEF', 'currency': 'USD'}, {'yahoo': '0L9Y.L', 'google': 'LON:0L9Y', 'currency': 'GBP'}, {'yahoo': 'STM', 'google': 'NYSE:STM', 'currency': 'USD'}, {'yahoo': 'SGMR.F', 'google': 'FRA:SGMR', 'currency': 'EUR'}]","{'founded': 1972, 'employees': 46000}",['NL0000226223'],[],,STM.PA
26,TOTAL SA,FP,France,"['CAC 40', 'EURO STOXX 50']","['Energy', 'Fossil Fuels', 'Integrated Oil & Gas', 'Oil & Gas']","[{'yahoo': 'TOTB.F', 'google': 'FRA:TOTB', 'currency': 'EUR'}, {'yahoo': 'TTFNF', 'google': 'OTCMKTS:TTFNF', 'currency': 'USD'}, {'yahoo': 'TOT', 'google': 'NYSE:TOT', 'currency': 'USD'}, {'yahoo': 'TTE', 'google': 'NYSE:TTE', 'currency': 'USD'}, {'yahoo': 'TTE.L', 'google': 'LON:TTE', 'currency': 'GBP'}, {'yahoo': 'TOTA.F', 'google': 'FRA:TOTA', 'currency': 'EUR'}]","{'founded': 1924, 'employees': 107776}",['FR0000120271'],[],,FP.PA
27,Unibail-Rodamco-Westfield,URW,France,"['AEX', 'CAC 40']","['Commercial REITs', 'Real Estate', 'Financials', 'Residential & Commercial RETIs']","[{'yahoo': '1BR1.F', 'google': 'FRA:1BR1', 'currency': 'EUR'}, {'yahoo': 'UNBLF', 'google': 'OTCMKTS:UNBLF', 'currency': 'USD'}, {'yahoo': 'URW.AS', 'google': 'AMS:URW', 'currency': 'EUR'}, {'yahoo': 'UBLB.F', 'google': 'FRA:UBLB', 'currency': 'EUR'}, {'yahoo': 'UNIRF', 'google': 'OTCMKTS:UNIRF', 'currency': 'USD'}]","{'founded': 2007, 'employees': 3700}",['FR0013326246'],[],,URW.PA
